"","ProductHouse","Date","LC","NB"
"157","Myriad","2013-09-01",2543,2884
"158","Myriad","2013-10-01",2841,3408
"159","Myriad","2013-11-01",2649,3012
"160","Myriad","2013-12-01",2375,2578
"161","Myriad","2014-01-01",2679,2235
"162","Myriad","2014-02-01",2841,1790
"163","Myriad","2014-03-01",2737,2975
"164","Myriad","2014-04-01",2509,2761
"165","Myriad","2014-05-01",2694,2908
"166","Myriad","2014-06-01",2699,3040
"167","Myriad","2014-07-01",2744,3103
"168","Myriad","2014-08-01",2517,3169
"169","Myriad","2014-09-01",2433,2959
"170","Myriad","2014-10-01",2571,3501
