"","Date","ProductHouseDesc","Count"
"58","2013-08-01","INVESTO",288909
"59","2013-12-01","PDS",473565
"60","2012-02-01","PDS",371252
"61","2011-01-01","MYRIAD",169665
"62","2012-09-01","INVESTO",258885
"63","2010-10-01","INVESTO",241133
"64","2011-09-01","MYRIAD",188713
"65","2011-09-01","PDS",369930
"66","2013-04-01","MYRIAD",240940
"67","2012-08-01","MYRIAD",223477
"68","2012-02-01","MYRIAD",213240
"69","2011-06-01","INVESTO",251002
"70","2013-02-01","MYRIAD",235388
"71","2010-11-01","PDS",369325
"72","2011-05-01","PDS",369342
"73","2011-04-01","PDS",369161
"74","2013-04-01","INVESTO",280460
"75","2014-08-01","PDS",475893
"76","2012-11-01","INVESTO",270490
"77","2013-10-01","INVESTO",292927
"78","2012-07-01","INVESTO",268748
"79","2014-06-01","MYRIAD",284180
"80","2014-02-01","INVESTO",322551
"81","2013-08-01","PDS",354213
"82","2010-11-01","INVESTO",241731
"83","2014-08-01","INVESTO",337048
"84","2014-09-01","PDS",476167
"85","2012-03-01","MYRIAD",214121
"86","2013-01-01","MYRIAD",233407
"87","2010-09-01","MYRIAD",163941
"88","2013-05-01","INVESTO",282542
"89","2013-02-01","INVESTO",276033
"90","2012-06-01","INVESTO",278141
"91","2012-05-01","PDS",362834
"92","2014-07-01","INVESTO",334492
"93","2012-01-01","PDS",371179
"94","2014-03-01","PDS",474323
"95","2013-11-01","MYRIAD",262417
"96","2011-12-01","INVESTO",274523
"97","2010-07-01","PDS",368637
"98","2011-06-01","PDS",369463
"99","2013-05-01","PDS",353378
"100","2013-08-01","MYRIAD",253088
"101","2012-09-01","MYRIAD",225592
"102","2012-01-01","INVESTO",275602
"103","2013-04-01","PDS",353185
"104","2013-11-01","INVESTO",294856
"105","2011-05-01","MYRIAD",173994
"106","2014-03-01","INVESTO",325171
"107","2010-11-01","MYRIAD",166768
"108","2012-10-01","PDS",351910
"109","2012-12-01","PDS",352249
"110","2011-12-01","PDS",371180
"111","2012-06-01","PDS",359606
"112","2013-05-01","MYRIAD",243825
"113","2014-07-01","MYRIAD",287512
"114","2010-12-01","MYRIAD",167755
"115","2012-04-01","MYRIAD",220180
"116","2014-04-01","PDS",474627
"117","2014-05-01","MYRIAD",280967
"118","2011-05-01","INVESTO",249271
"119","2012-10-01","INVESTO",257435
"120","2012-12-01","INVESTO",272502
"121","2013-11-01","PDS",355238
"122","2011-10-01","MYRIAD",189190
"123","2012-08-01","PDS",353999
"124","2011-11-01","PDS",370023
"125","2011-03-01","INVESTO",245605
"126","2012-05-01","INVESTO",280186
"127","2012-07-01","MYRIAD",223087
"128","2014-02-01","PDS",473958
"129","2012-02-01","INVESTO",276588
"130","2013-12-01","INVESTO",318998
"131","2011-01-01","INVESTO",243611
"132","2012-11-01","MYRIAD",228865
"133","2013-10-01","MYRIAD",258978
"134","2011-09-01","INVESTO",255285
"135","2014-08-01","MYRIAD",290822
"136","2011-07-01","MYRIAD",184319
"137","2012-07-01","PDS",357021
"138","2014-02-01","MYRIAD",270964
"139","2013-01-01","PDS",352400
"140","2010-09-01","INVESTO",240111
"141","2011-07-01","INVESTO",251278
"142","2013-03-01","PDS",352971
"143","2011-02-01","PDS",368921
"144","2010-07-01","INVESTO",217831
"145","2010-08-01","MYRIAD",161978
"146","2010-07-01","MYRIAD",164958
"147","2014-01-01","PDS",473803
"148","2013-07-01","PDS",353850
"149","2011-08-01","MYRIAD",185360
"150","2011-04-01","INVESTO",246714
"151","2010-10-01","PDS",369170
"152","2011-03-01","MYRIAD",173742
"153","2012-05-01","MYRIAD",222147
