"","Date","PrimaryCauseDescription","TotalPaidOut","Percentage"
"67","2012-03-01","Suicide",8677531,0.048371
"68","2012-03-01","Respiratory",6713956,0.037425
"69","2012-03-01","Murder",4591464,0.025594
"70","2012-03-01","Musculoskeletal",4198031,0.023401
"71","2012-03-01","Visual",2157566,0.012026
"72","2012-03-01","Urogenital system",2102679,0.01172
"73","2012-03-01","Surgery",1473321,0.008212
"74","2012-03-01","Endocrine / metabolic system",1367344,0.007621
"75","2012-03-01","Psychiatric / Mental",103635,0.000577
"76","2012-03-01","Gastrointestinal",72464,0.000403
"77","2012-03-01","Hematological",60000,0.000334
"78","2012-03-01","Fractures and Hospitalisation",55096,0.000307
"79","2012-03-01","Ear, Nose and Throat",52500,0.000292
"80","2012-03-01","Under investigation",27935,0.000155
"81","2012-03-01","HIV/AIDS",10000,5.5e-05
"82","2012-04-01","Cancer",39242191,0.325321
"83","2012-04-01","Cardiovascular",22127068,0.183435
"84","2012-04-01","Accident",16411816,0.136055
"85","2012-04-01","Murder",10053820,0.083347
"86","2012-04-01","Natural Causes",5640467,0.04676
"87","2012-04-01","Hematological",5599437,0.046419
"88","2012-04-01","Nervous system",5265723,0.043653
"89","2012-04-01","Musculoskeletal",4011436,0.033255
"90","2012-04-01","Visual",2453653,0.020341
"91","2012-04-01","Respiratory",1935466,0.016045
"92","2012-04-01","Urogenital system",1844293,0.015289
"93","2012-04-01","Suicide",1700000,0.014093
"94","2012-04-01","Gastrointestinal",1652212,0.013697
"95","2012-04-01","Under investigation",1615275,0.01339
"96","2012-04-01","Surgery",341953,0.002834
"97","2012-04-01","Ear, Nose and Throat",271557,0.002251
"98","2012-04-01","Skin",213058,0.001766
"99","2012-04-01","Endocrine / metabolic system",166150,0.001377
"100","2012-04-01","Psychiatric / Mental",53528,0.000443
"101","2012-04-01","Fractures and Hospitalisation",16538,0.000137
"102","2012-04-01","HIV/AIDS",10107,8.3e-05
"103","2012-05-01","Cardiovascular",35477179,0.220879
"104","2012-05-01","Cancer",34999447,0.217904
"105","2012-05-01","Suicide",32144051,0.200127
"106","2012-05-01","Respiratory",9344000,0.058175
"107","2012-05-01","Natural Causes",9218379,0.057393
"108","2012-05-01","Nervous system",8374601,0.052139
"109","2012-05-01","Accident",7082477,0.044095
"110","2012-05-01","Surgery",5075967,0.031602
"111","2012-05-01","Musculoskeletal",4300877,0.026777
"112","2012-05-01","Gastrointestinal",3120375,0.019427
"113","2012-05-01","Visual",2053099,0.012782
"114","2012-05-01","Murder",1972450,0.01228
"115","2012-05-01","Skin",1942504,0.012093
"116","2012-05-01","Hematological",1492832,0.009294
"117","2012-05-01","Under investigation",1269000,0.0079
"118","2012-05-01","Urogenital system",1019544,0.006347
"119","2012-05-01","Trauma",893398,0.005562
"120","2012-05-01","Endocrine / metabolic system",594456,0.003701
"121","2012-05-01","Psychiatric / Mental",176196,0.001096
"122","2012-05-01","Fractures and Hospitalisation",67150,0.000418
"123","2012-06-01","Cardiovascular",34166992,0.20098
"124","2012-06-01","Cancer",29051640,0.17089
"125","2012-06-01","Accident",28697499,0.168807
"126","2012-06-01","Suicide",28639745,0.168467
"127","2012-06-01","Natural Causes",13593790,0.079962
"128","2012-06-01","Murder",9365012,0.055087
"129","2012-06-01","Under investigation",7433563,0.043726
"130","2012-06-01","Surgery",3771771,0.022186
"131","2012-06-01","Urogenital system",3268367,0.019225
"132","2012-06-01","Nervous system",2762185,0.016248
"133","2012-06-01","Respiratory",2442693,0.014368
"134","2012-06-01","Skin",1880771,0.011063
"135","2012-06-01","Ear, Nose and Throat",1867337,0.010984
"136","2012-06-01","Visual",1667434,0.009808
"137","2012-06-01","Hematological",528000,0.003105
"138","2012-06-01","Endocrine / metabolic system",330711,0.001945
"139","2012-06-01","Gastrointestinal",291098,0.001712
"140","2012-06-01","Psychiatric / Mental",101803,0.000598
"141","2012-06-01","Musculoskeletal",95797,0.000563
"142","2012-06-01","Fractures and Hospitalisation",41075,0.000241
"143","2012-06-01","Trauma",4000,2.3e-05
"144","2012-07-01","Cardiovascular",54415327,0.283493
"145","2012-07-01","Cancer",37281302,0.194228
"146","2012-07-01","Suicide",21224777,0.110577
"147","2012-07-01","Accident",14608256,0.076106
"148","2012-07-01","Natural Causes",11706428,0.060988
"149","2012-07-01","Murder",10639777,0.055431
"150","2012-07-01","Visual",10631601,0.055388
"151","2012-07-01","Respiratory",8659877,0.045116
"152","2012-07-01","Nervous system",6514455,0.033939
"153","2012-07-01","Musculoskeletal",6116952,0.031868
"154","2012-07-01","Under investigation",2428375,0.012651
"155","2012-07-01","Hematological",2414811,0.01258
"156","2012-07-01","Psychiatric / Mental",2247435,0.011708
"157","2012-07-01","Surgery",1335339,0.006956
"158","2012-07-01","Gastrointestinal",990165,0.005158
"159","2012-07-01","Urogenital system",399757,0.002082
"160","2012-07-01","Endocrine / metabolic system",252266,0.001314
"161","2012-07-01","Ear, Nose and Throat",57416,0.000299
"162","2012-07-01","HIV/AIDS",21260,0.00011
"163","2012-08-01","Cancer",41747352,0.305898
"164","2012-08-01","Cardiovascular",26133091,0.191487
"165","2012-08-01","Natural Causes",15348440,0.112463
"166","2012-08-01","Nervous system",10030603,0.073498
"167","2012-08-01","Accident",8952333,0.065597
"168","2012-08-01","Musculoskeletal",7031619,0.051523
"169","2012-08-01","Respiratory",4171755,0.030568
"170","2012-08-01","Urogenital system",4070550,0.029826
"171","2012-08-01","Suicide",3954567,0.028976
"172","2012-08-01","Hematological",3752134,0.027493
"173","2012-08-01","Psychiatric / Mental",2932540,0.021487
"174","2012-08-01","Under investigation",2321760,0.017012
"175","2012-08-01","Visual",2140290,0.015682
"176","2012-08-01","Fractures and Hospitalisation",1543314,0.011308
"177","2012-08-01","Surgery",842418,0.006172
"178","2012-08-01","Endocrine / metabolic system",557193,0.004082
"179","2012-08-01","Gastrointestinal",512601,0.003756
"180","2012-08-01","Murder",290754,0.00213
"181","2012-08-01","Ear, Nose and Throat",127038,0.00093
"182","2012-08-01","Trauma",13024,9.5e-05
"183","2012-08-01","HIV/AIDS",1069,7e-06
"184","2012-09-01","Cardiovascular",82153393,0.408966
"185","2012-09-01","Cancer",27749669,0.13814
"186","2012-09-01","Accident",24195480,0.120447
"187","2012-09-01","Natural Causes",15783275,0.07857
"188","2012-09-01","Hematological",12725736,0.063349
"189","2012-09-01","Respiratory",11455066,0.057024
"190","2012-09-01","Nervous system",7018949,0.03494
"191","2012-09-01","Murder",4137327,0.020595
"192","2012-09-01","Skin",2865545,0.014264
"193","2012-09-01","Under investigation",2853282,0.014203
"194","2012-09-01","Musculoskeletal",2491034,0.0124
"195","2012-09-01","Urogenital system",2122915,0.010568
"196","2012-09-01","Terminal Illness",1599750,0.007963
"197","2012-09-01","Suicide",1422520,0.007081
"198","2012-09-01","Psychiatric / Mental",1006397,0.005009
"199","2012-09-01","Surgery",387473,0.001928
"200","2012-09-01","Endocrine / metabolic system",271641,0.001352
"201","2012-09-01","Product",209006,0.00104
"202","2012-09-01","Gastrointestinal",188173,0.000936
"203","2012-09-01","Ear, Nose and Throat",187425,0.000933
"204","2012-09-01",NA,24311,0.000121
"205","2012-09-01","Fractures and Hospitalisation",20000,9.9e-05
"206","2012-09-01","Trauma",12300,6.1e-05
"207","2012-10-01","Cancer",34029316,0.245572
"208","2012-10-01","Accident",29271032,0.211234
"209","2012-10-01","Cardiovascular",28413972,0.205049
"210","2012-10-01","Nervous system",8707272,0.062836
"211","2012-10-01","Natural Causes",8459171,0.061045
"212","2012-10-01","Suicide",6489994,0.046835
"213","2012-10-01","Musculoskeletal",4844620,0.034961
"214","2012-10-01","Respiratory",3984755,0.028756
"215","2012-10-01","Terminal Illness",3148361,0.02272
"216","2012-10-01","Murder",2793160,0.020156
"217","2012-10-01","Endocrine / metabolic system",2122516,0.015317
"218","2012-10-01","Surgery",1160086,0.008371
"219","2012-10-01","Ear, Nose and Throat",1051719,0.007589
"220","2012-10-01","Psychiatric / Mental",845942,0.006104
"221","2012-10-01","Gastrointestinal",607817,0.004386
"222","2012-10-01","Under investigation",600000,0.004329
"223","2012-10-01","Hematological",577505,0.004167
"224","2012-10-01","Skin",512296,0.003696
"225","2012-10-01",NA,472806,0.003412
"226","2012-10-01","Urogenital system",330468,0.002384
"227","2012-10-01","Trauma",113024,0.000815
"228","2012-10-01","Fractures and Hospitalisation",35250,0.000254
"229","2012-10-01","HIV/AIDS",100,0
"230","2012-11-01","Cardiovascular",49976445,0.269973
"231","2012-11-01","Cancer",39983485,0.215991
"232","2012-11-01","Accident",30476273,0.164633
"233","2012-11-01","Musculoskeletal",19372862,0.104652
"234","2012-11-01","Natural Causes",14854811,0.080245
"235","2012-11-01","Nervous system",5678075,0.030673
"236","2012-11-01","Endocrine / metabolic system",5272309,0.028481
"237","2012-11-01","Respiratory",5054532,0.027304
"238","2012-11-01","Suicide",4100637,0.022151
"239","2012-11-01","Gastrointestinal",3257438,0.017596
"240","2012-11-01","Ear, Nose and Throat",1509781,0.008155
"241","2012-11-01","Visual",1302236,0.007034
"242","2012-11-01","Skin",1033789,0.005584
"243","2012-11-01","Murder",943145,0.005094
"244","2012-11-01","Surgery",809475,0.004372
"245","2012-11-01","Hematological",699727,0.003779
"246","2012-11-01","Psychiatric / Mental",256137,0.001383
"247","2012-11-01",NA,214074,0.001156
"248","2012-11-01","Urogenital system",205967,0.001112
"249","2012-11-01","HIV/AIDS",72350,0.00039
"250","2012-11-01","Fractures and Hospitalisation",42833,0.000231
"251","2012-12-01","Cardiovascular",36155925,0.302682
"252","2012-12-01","Cancer",29899636,0.250307
"253","2012-12-01","Accident",23822020,0.199427
"254","2012-12-01","Respiratory",12013272,0.10057
"255","2012-12-01","Natural Causes",4167994,0.034892
"256","2012-12-01","Nervous system",3816426,0.031949
"257","2012-12-01","Psychiatric / Mental",2151738,0.018013
"258","2012-12-01","Musculoskeletal",1865724,0.015619
"259","2012-12-01","Surgery",1371915,0.011485
"260","2012-12-01","Suicide",1207883,0.010111
"261","2012-12-01","Gastrointestinal",1176449,0.009848
"262","2012-12-01","Urogenital system",498058,0.004169
"263","2012-12-01","Endocrine / metabolic system",402023,0.003365
"264","2012-12-01","Skin",250728,0.002098
"265","2012-12-01","Hematological",237620,0.001989
"266","2012-12-01","Ear, Nose and Throat",225242,0.001885
"267","2012-12-01","Under investigation",135380,0.001133
"268","2012-12-01","Visual",33750,0.000282
"269","2012-12-01","Murder",20000,0.000167
"270","2013-01-01","Cardiovascular",37170819,0.268935
"271","2013-01-01","Cancer",25324239,0.183223
"272","2013-01-01","Gastrointestinal",11895443,0.086064
"273","2013-01-01","Natural Causes",10777992,0.077979
"274","2013-01-01","Suicide",10417666,0.075372
"275","2013-01-01","Murder",9279857,0.06714
"276","2013-01-01","Nervous system",9114514,0.065944
"277","2013-01-01","Accident",9084298,0.065725
"278","2013-01-01","Respiratory",3617792,0.026175
"279","2013-01-01","Urogenital system",1982999,0.014347
"280","2013-01-01","Musculoskeletal",1866659,0.013505
"281","2013-01-01","Surgery",1585295,0.011469
"282","2013-01-01","Skin",1300000,0.009405
"283","2013-01-01","Under investigation",1284288,0.009291
"284","2013-01-01","Endocrine / metabolic system",1167615,0.008447
"285","2013-01-01","Ear, Nose and Throat",950000,0.006873
"286","2013-01-01","Hematological",910661,0.006588
"287","2013-01-01","HIV/AIDS",266708,0.001929
"288","2013-01-01","Visual",164933,0.001193
"289","2013-01-01","Psychiatric / Mental",53050,0.000383
"290","2013-02-01","Cardiovascular",43033036,0.211052
"291","2013-02-01","Under investigation",42070905,0.206333
"292","2013-02-01","Cancer",31616125,0.155058
"293","2013-02-01","Natural Causes",27783236,0.13626
"294","2013-02-01","Accident",13012055,0.063816
"295","2013-02-01","Suicide",10629892,0.052133
"296","2013-02-01","Nervous system",6891974,0.033801
"297","2013-02-01","Hematological",5762532,0.028261
"298","2013-02-01","Murder",5682394,0.027868
"299","2013-02-01","Respiratory",3587408,0.017594
"300","2013-02-01","Gastrointestinal",3485365,0.017093
"301","2013-02-01","Musculoskeletal",3450987,0.016925
"302","2013-02-01","Ear, Nose and Throat",2197112,0.010775
"303","2013-02-01","Surgery",1497942,0.007346
"304","2013-02-01","Endocrine / metabolic system",1319756,0.006472
"305","2013-02-01","Skin",741459,0.003636
"306","2013-02-01","Urogenital system",548833,0.002691
"307","2013-02-01","Psychiatric / Mental",532024,0.002609
"308","2013-02-01",NA,54500,0.000267
"309","2013-03-01","Cancer",42975993,0.28357
"310","2013-03-01","Cardiovascular",17457732,0.115192
"311","2013-03-01","Suicide",13387108,0.088332
"312","2013-03-01","Natural Causes",13168487,0.08689
"313","2013-03-01","Accident",12944731,0.085413
"314","2013-03-01","Psychiatric / Mental",11158781,0.073629
"315","2013-03-01","Nervous system",9955493,0.065689
"316","2013-03-01","Musculoskeletal",7232248,0.04772
"317","2013-03-01","Respiratory",6568301,0.043339
"318","2013-03-01","Murder",5159283,0.034042
"319","2013-03-01","Hematological",2906779,0.019179
"320","2013-03-01","Urogenital system",2045388,0.013496
"321","2013-03-01","Visual",1702085,0.01123
"322","2013-03-01","Gastrointestinal",1154174,0.007615
"323","2013-03-01","Trauma",1000000,0.006598
"324","2013-03-01","Endocrine / metabolic system",992168,0.006546
"325","2013-03-01","Surgery",941524,0.006212
"326","2013-03-01","Skin",800000,0.005278
"327","2013-03-01",NA,2600,1.7e-05
"328","2013-04-01","Hematological",37662428,0.197087
"329","2013-04-01","Cardiovascular",36581236,0.191429
"330","2013-04-01","Natural Causes",22052986,0.115403
"331","2013-04-01","Cancer",20196404,0.105687
"332","2013-04-01","Murder",19894666,0.104108
"333","2013-04-01","Accident",19552843,0.10232
"334","2013-04-01","Nervous system",14287959,0.074768
"335","2013-04-01","Suicide",4717452,0.024686
"336","2013-04-01","Gastrointestinal",4676698,0.024473
"337","2013-04-01","Respiratory",3426079,0.017928
"338","2013-04-01","Psychiatric / Mental",2228981,0.011664
"339","2013-04-01","Musculoskeletal",1746345,0.009138
"340","2013-04-01","Surgery",1156929,0.006054
"341","2013-04-01","Under investigation",605000,0.003165
"342","2013-04-01","Visual",602024,0.00315
"343","2013-04-01","Endocrine / metabolic system",548615,0.00287
"344","2013-04-01","Urogenital system",450840,0.002359
"345","2013-04-01","Skin",407515,0.002132
"346","2013-04-01","Trauma",300000,0.001569
"347","2013-05-01","Cancer",81663012,0.402372
"348","2013-05-01","Cardiovascular",28549474,0.140669
"349","2013-05-01","Suicide",13919626,0.068585
"350","2013-05-01","Murder",12471064,0.061447
"351","2013-05-01","Product",7555883,0.037229
"352","2013-05-01","Under investigation",7078819,0.034878
"353","2013-05-01","Natural Causes",6821970,0.033613
"354","2013-05-01","Psychiatric / Mental",6440258,0.031732
"355","2013-05-01","Accident",6044606,0.029783
"356","2013-05-01","Nervous system",5415267,0.026682
"357","2013-05-01","Urogenital system",4390142,0.021631
"358","2013-05-01","Respiratory",3759043,0.018521
"359","2013-05-01","Skin",3343887,0.016476
"360","2013-05-01","Endocrine / metabolic system",3313126,0.016324
"361","2013-05-01","Visual",3002457,0.014793
"362","2013-05-01","Gastrointestinal",2816654,0.013878
"363","2013-05-01","Hematological",2260107,0.011136
"364","2013-05-01","Ear, Nose and Throat",1396545,0.006881
"365","2013-05-01","Musculoskeletal",1361932,0.00671
"366","2013-05-01","Surgery",1349859,0.006651
"367","2013-06-01","Cardiovascular",50881653,0.2939
"368","2013-06-01","Cancer",38878164,0.224566
"369","2013-06-01","Accident",22153197,0.12796
"370","2013-06-01","Natural Causes",12385019,0.071537
"371","2013-06-01","Respiratory",8858454,0.051167
"372","2013-06-01","Nervous system",7451535,0.043041
"373","2013-06-01","Musculoskeletal",6671951,0.038538
"374","2013-06-01","Murder",5572160,0.032185
"375","2013-06-01","Psychiatric / Mental",5265507,0.030414
"376","2013-06-01","Ear, Nose and Throat",2879652,0.016633
"377","2013-06-01","Suicide",2573714,0.014866
"378","2013-06-01","Surgery",2187416,0.012634
"379","2013-06-01","Urogenital system",1941196,0.011212
"380","2013-06-01","Under investigation",1167130,0.006741
"381","2013-06-01","Fractures and Hospitalisation",1104194,0.006377
"382","2013-06-01","Visual",775572,0.004479
"383","2013-06-01","Hematological",770268,0.004449
"384","2013-06-01","HIV/AIDS",525000,0.003032
"385","2013-06-01","Gastrointestinal",455332,0.00263
"386","2013-06-01","Endocrine / metabolic system",381148,0.002201
"387","2013-06-01",NA,174215,0.001006
"388","2013-06-01","Skin",51250,0.000296
"389","2013-06-01","Trauma",22000,0.000127
"390","2013-07-01","Cancer",38206600,0.253104
"391","2013-07-01","Cardiovascular",31093006,0.205979
"392","2013-07-01","Natural Causes",19699988,0.130505
"393","2013-07-01","Nervous system",15295496,0.101327
"394","2013-07-01","Respiratory",11760114,0.077906
"395","2013-07-01","Accident",6066612,0.040189
"396","2013-07-01","Urogenital system",5190137,0.034382
"397","2013-07-01","Under investigation",4272761,0.028305
"398","2013-07-01","Musculoskeletal",3490502,0.023123
"399","2013-07-01","Suicide",2762439,0.0183
"400","2013-07-01","Endocrine / metabolic system",2587686,0.017142
"401","2013-07-01",NA,2341503,0.015511
"402","2013-07-01","Visual",1875930,0.012427
"403","2013-07-01","Gastrointestinal",1839278,0.012184
"404","2013-07-01","Surgery",1511891,0.010015
"405","2013-07-01","Skin",1382017,0.009155
"406","2013-07-01","Murder",863000,0.005717
"407","2013-07-01","Psychiatric / Mental",420898,0.002788
"408","2013-07-01","Fractures and Hospitalisation",190759,0.001263
"409","2013-07-01","Terminal Illness",100000,0.000662
"410","2013-07-01","Hematological",1000,6e-06
"411","2013-08-01","Cancer",60173093,0.329424
"412","2013-08-01","Cardiovascular",37760082,0.206721
"413","2013-08-01","Accident",22036159,0.120639
"414","2013-08-01","Suicide",11034624,0.06041
"415","2013-08-01","Skin",8538247,0.046743
"416","2013-08-01","Ear, Nose and Throat",8353451,0.045731
"417","2013-08-01","Musculoskeletal",8236883,0.045093
"418","2013-08-01","Nervous system",5790533,0.0317
"419","2013-08-01","Natural Causes",4550388,0.024911
"420","2013-08-01","Psychiatric / Mental",3627405,0.019858
"421","2013-08-01","Urogenital system",3058755,0.016745
"422","2013-08-01","Respiratory",2615087,0.014316
"423","2013-08-01","Murder",2308744,0.012639
"424","2013-08-01","Under investigation",1843730,0.010093
"425","2013-08-01","Surgery",1080998,0.005918
"426","2013-08-01","Visual",1025936,0.005616
"427","2013-08-01","Endocrine / metabolic system",351888,0.001926
"428","2013-08-01","Fractures and Hospitalisation",119129,0.000652
"429","2013-08-01","Hematological",98381,0.000538
"430","2013-08-01","Gastrointestinal",57852,0.000316
"431","2013-09-01","Cancer",25382347,0.186601
"432","2013-09-01","Respiratory",21349931,0.156956
"433","2013-09-01","Cardiovascular",20468916,0.150479
"434","2013-09-01","Accident",17217131,0.126573
"435","2013-09-01","Natural Causes",13796686,0.101428
"436","2013-09-01","Suicide",6957118,0.051146
"437","2013-09-01","Gastrointestinal",5843401,0.042958
"438","2013-09-01","Nervous system",5073112,0.037295
"439","2013-09-01","Musculoskeletal",4853679,0.035682
"440","2013-09-01","Psychiatric / Mental",2338234,0.017189
"441","2013-09-01","Murder",2137177,0.015711
"442","2013-09-01","Surgery",2000090,0.014703
"443","2013-09-01","Visual",1955454,0.014375
"444","2013-09-01","Hematological",1767303,0.012992
"445","2013-09-01","Urogenital system",1706068,0.012542
"446","2013-09-01","Trauma",968126,0.007117
"447","2013-09-01","Endocrine / metabolic system",796113,0.005852
"448","2013-09-01","Ear, Nose and Throat",550647,0.004048
"449","2013-09-01","Fractures and Hospitalisation",389933,0.002866
"450","2013-09-01","Skin",372301,0.002737
"451","2013-09-01",NA,93849,0.000689
"452","2013-09-01","Under investigation",6690,4.9e-05
"453","2013-10-01","Cancer",41835318,0.23288
"454","2013-10-01","Suicide",29472694,0.164062
"455","2013-10-01","Accident",27640854,0.153865
"456","2013-10-01","Cardiovascular",24784325,0.137964
"457","2013-10-01","Natural Causes",12704002,0.070717
"458","2013-10-01","Nervous system",8969333,0.049928
"459","2013-10-01","Musculoskeletal",8956707,0.049858
"460","2013-10-01","Respiratory",5746856,0.03199
"461","2013-10-01","Murder",4000000,0.022266
"462","2013-10-01","Fractures and Hospitalisation",2780447,0.015477
"463","2013-10-01","Surgery",2351964,0.013092
"464","2013-10-01","Urogenital system",2294636,0.012773
"465","2013-10-01","Ear, Nose and Throat",2094750,0.01166
"466","2013-10-01",NA,2087428,0.011619
"467","2013-10-01","Visual",1514092,0.008428
"468","2013-10-01","Endocrine / metabolic system",1303365,0.007255
"469","2013-10-01","Hematological",675428,0.003759
"470","2013-10-01","Gastrointestinal",289553,0.001611
"471","2013-10-01","Skin",121551,0.000676
"472","2013-10-01","Psychiatric / Mental",19824,0.00011
"473","2013-11-01","Cancer",84013835,0.413206
"474","2013-11-01","Cardiovascular",40282583,0.198122
"475","2013-11-01","Accident",15016392,0.073855
"476","2013-11-01","Nervous system",12861928,0.063259
"477","2013-11-01","Natural Causes",12590114,0.061922
"478","2013-11-01","Respiratory",8835997,0.043458
"479","2013-11-01","Musculoskeletal",6665056,0.03278
"480","2013-11-01","Skin",4027416,0.019808
"481","2013-11-01","Urogenital system",2895587,0.014241
"482","2013-11-01","Murder",2825318,0.013895
"483","2013-11-01","Suicide",2676515,0.013163
"484","2013-11-01","Visual",2342333,0.01152
"485","2013-11-01","Gastrointestinal",2340428,0.01151
"486","2013-11-01","Ear, Nose and Throat",2088886,0.010273
"487","2013-11-01","Surgery",1373633,0.006755
"488","2013-11-01","Psychiatric / Mental",1139766,0.005605
"489","2013-11-01","Under investigation",733830,0.003609
"490","2013-11-01","Hematological",294798,0.001449
"491","2013-11-01",NA,157276,0.000773
"492","2013-11-01","Endocrine / metabolic system",154879,0.000761
"493","2013-11-01","Trauma",5000,2.4e-05
"494","2013-12-01","Cancer",53529262,0.259958
"495","2013-12-01","Accident",37936444,0.184233
"496","2013-12-01","Cardiovascular",32329216,0.157002
"497","2013-12-01","Nervous system",15893305,0.077183
"498","2013-12-01","Suicide",15087540,0.07327
"499","2013-12-01","Natural Causes",13682228,0.066446
"500","2013-12-01","Musculoskeletal",11196442,0.054374
"501","2013-12-01","Respiratory",6721752,0.032643
"502","2013-12-01","Skin",6036498,0.029315
"503","2013-12-01","Murder",5979097,0.029036
"504","2013-12-01","Visual",2403818,0.011673
"505","2013-12-01","Ear, Nose and Throat",1267561,0.006155
"506","2013-12-01","Hematological",934629,0.004538
"507","2013-12-01","Gastrointestinal",807218,0.00392
"508","2013-12-01","Surgery",534334,0.002594
"509","2013-12-01","Urogenital system",406130,0.001972
"510","2013-12-01","Product",390567,0.001896
"511","2013-12-01","Terminal Illness",364247,0.001768
"512","2013-12-01","Psychiatric / Mental",285904,0.001388
"513","2013-12-01","Endocrine / metabolic system",55110,0.000267
"514","2013-12-01","Fractures and Hospitalisation",50000,0.000242
"515","2013-12-01","HIV/AIDS",21000,0.000101
"516","2013-12-01","Under investigation",2557,1.2e-05
"517","2014-01-01","Cancer",45342651,0.307531
"518","2014-01-01","Cardiovascular",44751878,0.303525
"519","2014-01-01","Natural Causes",14209102,0.096371
"520","2014-01-01","Nervous system",10268914,0.069647
"521","2014-01-01","Accident",7743968,0.052522
"522","2014-01-01","Murder",3701015,0.025101
"523","2014-01-01","Product",3557361,0.024127
"524","2014-01-01","Respiratory",3195785,0.021675
"525","2014-01-01","Suicide",3050981,0.020692
"526","2014-01-01","Hematological",2591826,0.017578
"527","2014-01-01","Endocrine / metabolic system",2502715,0.016974
"528","2014-01-01","Musculoskeletal",1554195,0.010541
"529","2014-01-01","Surgery",1389814,0.009426
"530","2014-01-01","Urogenital system",1276819,0.008659
"531","2014-01-01","Gastrointestinal",743497,0.005042
"532","2014-01-01","Skin",589960,0.004001
"533","2014-01-01","Visual",554690,0.003762
"534","2014-01-01",NA,229266,0.001554
"535","2014-01-01","Ear, Nose and Throat",110250,0.000747
"536","2014-01-01","Fractures and Hospitalisation",68250,0.000462
"537","2014-01-01","HIV/AIDS",7500,5e-05
"538","2014-02-01","Cancer",64198674,0.39995
"539","2014-02-01","Cardiovascular",29975677,0.186745
"540","2014-02-01","Natural Causes",15701370,0.097817
"541","2014-02-01","Accident",12747674,0.079416
"542","2014-02-01","Respiratory",10578312,0.065901
"543","2014-02-01","Suicide",5818543,0.036248
"544","2014-02-01","Nervous system",4554078,0.028371
